7zip	23.01+dfsg-11ubuntu0.1~esm1
libavutil-dev:amd64	7:6.1.1-3ubuntu5+esm6
libavutil58:amd64	7:6.1.1-3ubuntu5+esm6
libayatana-appindicator3-1	0.5.93-1build3
libayatana-ido3-0.4-0:amd64	0.10.1-1build2
libayatana-indicator3-7:amd64	0.9.4-1build1
libb-hooks-endofscope-perl	0.28-1
libb-hooks-op-check-perl:amd64	0.22-3build1
libb2-1:amd64	0.98.1-1.1build1
libbabeltrace1:amd64	1.5.11-3build3
libbasicobjects0t64:amd64	0.6.2-2.1build1
libbcg729-0:amd64	1.1.1-2build1
libbdplus0:amd64	0.2.0-3build1
libbinutils:amd64	2.42-4ubuntu2.6
libblas3:amd64	3.12.0-3build1.1
libblkid-dev:amd64	2.39.3-9ubuntu6.3
libblkid1:amd64	2.39.3-9ubuntu6.3
libblkid1:i386	2.39.3-9ubuntu6.3
libblockdev-crypto3:amd64	3.1.1-1ubuntu0.1
libblockdev-fs3:amd64	3.1.1-1ubuntu0.1
libblockdev-loop3:amd64	3.1.1-1ubuntu0.1
libblockdev-mdraid3:amd64	3.1.1-1ubuntu0.1
libblockdev-nvme3:amd64	3.1.1-1ubuntu0.1
libblockdev-part3:amd64	3.1.1-1ubuntu0.1
libblockdev-swap3:amd64	3.1.1-1ubuntu0.1
libblockdev-utils3:amd64	3.1.1-1ubuntu0.1
libblockdev3:amd64	3.1.1-1ubuntu0.1
libbluetooth3:amd64	5.72-0ubuntu5.5
libbluray2:amd64	1:1.3.4-1build1
libboost-iostreams1.83.0:amd64	1.83.0-2.1ubuntu3.1
libboost-thread1.83.0:amd64	1.83.0-2.1ubuntu3.1
libbpf1:amd64	1:1.3.0-2build2
libbpfcc:amd64	0.29.1+ds-1ubuntu7
libbrlapi0.8:amd64	6.6-4ubuntu5
libbrotli-dev:amd64	1.1.0-2build2
libbrotli1:amd64	1.1.0-2build2
libbs2b0:amd64	3.1.0+dfsg-7build1
libbsd-dev:amd64	0.12.1-1build1.1
libbsd0:amd64	0.12.1-1build1.1
libbsd0:i386	0.12.1-1build1.1
libbytesize-common	2.10-1ubuntu2
libbytesize1:amd64	2.10-1ubuntu2
libbz2-1.0:amd64	1.0.8-5.1build0.1
libbz2-1.0:i386	1.0.8-5.1build0.1
libbz2-dev:amd64	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.6
libc-dev-bin	2.39-0ubuntu8.6
libc-devtools	2.39-0ubuntu8.6
libc6:amd64	2.39-0ubuntu8.6
libc6:i386	2.39-0ubuntu8.6
libc6-dbg:amd64	2.39-0ubuntu8.6
libc6-dev:amd64	2.39-0ubuntu8.6
libc6-dev-i386	2.39-0ubuntu8.6
libc6-dev-x32	2.39-0ubuntu8.6
libc6-i386	2.39-0ubuntu8.6
libc6-x32	2.39-0ubuntu8.6
libcaca0:amd64	0.99.beta20-4build2
libcairo-5c-dev	1.21build1
libcairo-5c0:amd64	1.21build1
libcairo-gobject-perl	1.005-4build3
libcairo-gobject2:amd64	1.18.0-3build1
libcairo-perl	1.109-4build1
libcairo-script-interpreter2:amd64	1.18.0-3build1
libcairo2:amd64	1.18.0-3build1
libcairo2-dev:amd64	1.18.0-3build1
libcairomm-1.0-1v5:amd64	1.14.5-1build1
libcairomm-1.16-1:amd64	1.18.0-1build1
libcaja-extension1:amd64	1.26.3-1build3
libcamel-1.2-64t64:amd64	3.52.3-0ubuntu1
libcanberra-gtk3-0t64:amd64	0.30-10ubuntu10
libcanberra-gtk3-module:amd64	0.30-10ubuntu10
libcanberra-pulse:amd64	0.30-10ubuntu10
libcanberra0t64:amd64	0.30-10ubuntu10
libcap-ng0:amd64	0.8.4-2build2
libcap2:amd64	1:2.66-5ubuntu2.2
libcap2:i386	1:2.66-5ubuntu2.2
libcap2-bin	1:2.66-5ubuntu2.2
libcares2:amd64	1.27.0-1.0ubuntu1
libcarp-always-perl	0.16-1
libcbor0.10:amd64	0.10.2-1.2ubuntu2
libcc1-0:amd64	14.2.0-4ubuntu2~24.04
libcdio-cdda2t64:amd64	10.2+2.0.1-1.1build2
libcdio-paranoia2t64:amd64	10.2+2.0.1-1.1build2
libcdio19t64:amd64	2.1.0-4.1ubuntu1.2
libcdparanoia0:amd64	3.10.2+debian-14build3
libcgi-fast-perl	1:2.17-1
libcgi-pm-perl	4.63-1
libchafa0t64:amd64	1.14.0-1.1build1
libcheese-gtk25:amd64	44.1-1build4
libcheese8:amd64	44.1-1build4
libchewing3:amd64	0.6.0-1build1
libchewing3-data	0.6.0-1build1
libchromaprint1:amd64	1.5.1-5
libcjson1:amd64	1.7.17-1ubuntu0.1~esm2
libclamav12:amd64	1.4.3+dfsg-0ubuntu0.24.04.1
libclang-common-15-dev	1:15.0.7-14build3
libclang-cpp15t64	1:15.0.7-14build3
libclang-cpp18	1:18.1.3-1ubuntu1
libclang-rt-15-dev:amd64	1:15.0.7-14build3
libclang1-15t64	1:15.0.7-14build3
libclang1-18	1:18.1.3-1ubuntu1
libclass-accessor-perl	0.51-2
libclass-data-inheritable-perl	0.08-3
libclass-method-modifiers-perl	2.15-1
libclass-xsaccessor-perl	1.19-4build4
libclone-perl:amd64	0.46-1build3
libclutter-1.0-0:amd64	1.26.4+git2779b932+dfsg-7build3
libclutter-1.0-common	1.26.4+git2779b932+dfsg-7build3
libclutter-gst-3.0-0:amd64	3.0.27-4build1
libclutter-gtk-1.0-0:amd64	1.8.4-4build5
libcodec2-1.2:amd64	1.2.0-2build1
libcogl-common	1.22.8-4ubuntu4
libcogl-pango20:amd64	1.22.8-4ubuntu4
libcogl-path20:amd64	1.22.8-4ubuntu4
libcogl20:amd64	1.22.8-4ubuntu4
libcollection4t64:amd64	0.6.2-2.1build1
libcolord-gtk4-1t64:amd64	0.3.1-1build2
libcolord2:amd64	1.4.7-1build2
libcolorhug2:amd64	1.4.7-1build2
libcom-err2:amd64	1.47.0-2.4~exp1ubuntu4.1
libcom-err2:i386	1.47.0-2.4~exp1ubuntu4.1
libcommon-sense-perl:amd64	3.75-3build3
libcompress-raw-lzma-perl:amd64	2.209-1build2
libcomps0:amd64	0.1.20-1build2
libcpanel-json-xs-perl:amd64	4.37-1ubuntu0.1
libcrack2:amd64	2.9.6-5.1build2
libcrypt-dev:amd64	1:4.4.36-4build1
libcrypt-openssl-bignum-perl	0.09-2build5
libcrypt-openssl-random-perl:amd64	0.15-3build4
libcrypt-openssl-rsa-perl:amd64	0.33-3build4
libcrypt1:amd64	1:4.4.36-4build1
libcryptsetup12:amd64	2:2.7.0-1ubuntu4.2
libctf-nobfd0:amd64	2.42-4ubuntu2.6
libctf0:amd64	2.42-4ubuntu2.6
libcue2:amd64	2.2.1-4.1build1
libcups2t64:amd64	2.4.7-1.2ubuntu7.4
libcupsfilters2-common	2.0.0-0ubuntu7.1
libcupsfilters2t64:amd64	2.0.0-0ubuntu7.1
libcupsimage2t64:amd64	2.4.7-1.2ubuntu7.4
libcurl3t64-gnutls:amd64	8.5.0-2ubuntu10.6
libcurl4t64:amd64	8.5.0-2ubuntu10.6
libdaemon0:amd64	0.14-7.1ubuntu4
libdata-dump-perl	1.25-1
libdate-tz3:amd64	3.0.1+ds-5build1
libdatrie-dev:amd64	0.2.13-3build1
libdatrie1:amd64	0.2.13-3build1
libdav1d7:amd64	1.4.1-1build1
libdaxctl1:amd64	77-2ubuntu2
libdb5.3t64:amd64	5.3.28+dfsg2-7
libdbus-1-3:amd64	1.14.10-4ubuntu4.1
libdbus-1-dev:amd64	1.14.10-4ubuntu4.1
libdbus-glib-1-2:amd64	0.112-3build2
libdbusmenu-glib-dev:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
libdbusmenu-glib4:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
libdbusmenu-gtk3-4:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
libdbusmenu-gtk3-dev:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
libdc1394-25:amd64	2.2.6-4build1
libdca0:amd64	0.0.7-2build1
libdconf1:amd64	0.40.0-4ubuntu0.1
libde265-0:amd64	1.0.15-1build3
libdebconfclient0:amd64	0.271ubuntu3
libdebuginfod-common	0.190-1.1ubuntu0.1
libdebuginfod1t64:amd64	0.190-1.1ubuntu0.1
libdecor-0-0:amd64	0.2.2-1build2
libdecor-0-dev:amd64	0.2.2-1build2
libdecor-0-plugin-1-gtk:amd64	0.2.2-1build2
libdee-1.0-4:amd64	1.2.7+17.10.20170616-7build5
libdeflate-dev:amd64	1.19-1build1.1
libdeflate0:amd64	1.19-1build1.1
libdevel-callchecker-perl:amd64	0.008-2build3
libdevmapper-event1.02.1:amd64	2:1.02.185-3ubuntu3.2
libdevmapper1.02.1:amd64	2:1.02.185-3ubuntu3.2
libdhash1t64:amd64	0.6.2-2.1build1
libdigest-hmac-perl	1.04+dfsg-2
libdirectfb-1.7-7t64:amd64	1.7.7-11.1ubuntu2
libdisplay-info-dev:amd64	0.1.1-2build1
libdisplay-info1:amd64	0.1.1-2build1
libdistro-info-perl	1.7build1
libdjvulibre-text	3.5.28-2ubuntu0.24.04.1
libdjvulibre21:amd64	3.5.28-2ubuntu0.24.04.1
libdnf2-common	0.69.0-2.3ubuntu0.1
libdnf2t64:amd64	0.69.0-2.3ubuntu0.1
libdotconf0:amd64	1.3-0.3fakesync1build3
libdouble-conversion3:amd64	3.3.0-1build1
libdpkg-perl	1.22.6ubuntu6.5
libdrm-amdgpu1:amd64	2.4.122-1~ubuntu0.24.04.1
libdrm-amdgpu1:i386	2.4.122-1~ubuntu0.24.04.1
libdrm-common	2.4.122-1~ubuntu0.24.04.1
libdrm-dev:amd64	2.4.122-1~ubuntu0.24.04.1
libdrm-intel1:amd64	2.4.122-1~ubuntu0.24.04.1
libdrm-intel1:i386	2.4.122-1~ubuntu0.24.04.1
libdrm-nouveau2:amd64	2.4.122-1~ubuntu0.24.04.1
libdrm-radeon1:amd64	2.4.122-1~ubuntu0.24.04.1
libdrm2:amd64	2.4.122-1~ubuntu0.24.04.1
libdrm2:i386	2.4.122-1~ubuntu0.24.04.1
libduktape207:amd64	2.7.0+tests-0ubuntu3
libdv4t64:amd64	1.0.0-17.1build1
libdvdnav4:amd64	6.1.1-3build1
libdvdread8t64:amd64	6.1.3-1.1build1
libdw-dev:amd64	0.190-1.1ubuntu0.1
libdw1t64:amd64	0.190-1.1ubuntu0.1
libdynaloader-functions-perl	0.003-3
libeatmydata1:amd64	131-1ubuntu1
libebackend-1.2-11t64:amd64	3.52.3-0ubuntu1
libebook-1.2-21t64:amd64	3.52.3-0ubuntu1
libebook-contacts-1.2-4t64:amd64	3.52.3-0ubuntu1
libecal-2.0-3:amd64	3.52.3-0ubuntu1
libedata-book-1.2-27t64:amd64	3.52.3-0ubuntu1
libedata-cal-2.0-2t64:amd64	3.52.3-0ubuntu1
libedataserver-1.2-27t64:amd64	3.52.3-0ubuntu1
libedataserverui-1.2-4t64:amd64	3.52.3-0ubuntu1
libedit2:amd64	3.1-20230828-1build1
libedit2:i386	3.1-20230828-1build1
libeditorconfig0:amd64	0.12.7-0.1
libefiboot1t64:amd64	38-3.1build1
libefivar1t64:amd64	38-3.1build1
libegl-dev:amd64	1.7.0-1build1
libegl-mesa0:amd64	25.0.7-0ubuntu0.24.04.2
libegl1:amd64	1.7.0-1build1
libegl1-mesa-dev:amd64	25.0.7-0ubuntu0.24.04.2
libei1:amd64	1.2.1-1
libeis1:amd64	1.2.1-1
libelf-dev:amd64	0.190-1.1ubuntu0.1
libelf1t64:amd64	0.190-1.1ubuntu0.1
libelf1t64:i386	0.190-1.1ubuntu0.1
libenchant-2-2:amd64	2.3.3-2build2
libencode-locale-perl	1.05-3
libepoxy-dev:amd64	1.5.10-1build1
libepoxy0:amd64	1.5.10-1build1
libept1.6.0t64:amd64	1.2.1+nmu1build1
liberror-perl	0.17029-2
libespeak-ng1:amd64	1.51+dfsg-12build1
libestr0:amd64	0.1.11-1build1
libevdev-dev:amd64	1.13.1+dfsg-1build1
libevdev2:amd64	1.13.1+dfsg-1build1
libevdocument3-4t64:amd64	46.3.1-0ubuntu1
libevent-2.1-7t64:amd64	2.1.12-stable-9ubuntu2
libevent-core-2.1-7t64:amd64	2.1.12-stable-9ubuntu2
libevview3-3t64:amd64	46.3.1-0ubuntu1
libexempi8:amd64	2.6.5-1build1
libexif12:amd64	0.6.24-1build2
libexiv2-27:amd64	0.27.6-1build1
libexo-2-0:amd64	4.18.0-1build4
libexo-common	4.18.0-1build4
libexpat1:amd64	2.6.1-2ubuntu0.3
libexpat1:i386	2.6.1-2ubuntu0.3
libexpat1-dev:amd64	2.6.1-2ubuntu0.3
libext2fs2t64:amd64	1.47.0-2.4~exp1ubuntu4.1
libextutils-depends-perl	0.8001-2
libfaad2:amd64	2.11.1-1build1
libfakechroot:amd64	2.20.1+ds-15
libfakeroot:amd64	1.33-1
libfastjson4:amd64	1.2304.0-1build1
libfcgi-bin	2.4.2-2.1ubuntu0.24.04.1
libfcgi-perl	0.82+ds-3build2
libfcgi0t64:amd64	2.4.2-2.1ubuntu0.24.04.1
libfdisk1:amd64	2.39.3-9ubuntu6.3
libffi-dev:amd64	3.4.6-1build1
libffi8:amd64	3.4.6-1build1
libffi8:i386	3.4.6-1build1
libffmpegthumbnailer4v5:amd64	2.2.2+git20240104+dfsg-1build1
libfftw3-double3:amd64	3.3.10-1ubuntu3
libfftw3-single3:amd64	3.3.10-1ubuntu3
libfido2-1:amd64	1.14.0-1build3
libfile-basedir-perl	0.09-2
libfile-copy-recursive-perl	0.45-4
libfile-desktopentry-perl	0.22-3
libfile-fcntllock-perl	0.22-4ubuntu5
libfile-listing-perl	6.16-1
libfile-mimeinfo-perl	0.34-1
libfile-which-perl	1.27-2
libfl-dev:amd64	2.6.4-8.2build1
libfl2:amd64	2.6.4-8.2build1
libflac12t64:amd64	1.4.3+ds-2.1ubuntu2
libflashrom1:amd64	1.3.0-2.1ubuntu2
libflatpak0:amd64	1.16.1-1~flatpak1~24.04.1
libflite1:amd64	2.2-6build3
libfluidsynth3:amd64	2.3.4-1build3
libfmt9:amd64	9.1.0+ds1-2
libfont-afm-perl	1.20-4
libfontconfig-dev:amd64	2.15.0-1.1ubuntu2
libfontconfig1:amd64	2.15.0-1.1ubuntu2
libfontconfig1-dev:amd64	2.15.0-1.1ubuntu2
libfontenc1:amd64	1:1.1.8-1build1
libfprint-2-2	1:1.94.7+tod1-0ubuntu5~24.04.4
libfprint-2-tod1:amd64	1:1.94.7+tod1-0ubuntu5~24.04.4
libfprint-2-tod1-broadcom	5.12.018-0ubuntu1~22.04.01
libfreeaptx0:amd64	0.1.1-2build1
libfreerdp-client3-3:amd64	3.5.1+dfsg1-0ubuntu1.1
libfreerdp-server3-3:amd64	3.5.1+dfsg1-0ubuntu1.1
libfreerdp3-3:amd64	3.5.1+dfsg1-0ubuntu1.1
libfreetype-dev:amd64	2.13.2+dfsg-1build3
libfreetype6:amd64	2.13.2+dfsg-1build3
libfribidi-dev:amd64	1.0.13-3build1
libfribidi0:amd64	1.0.13-3build1
libfsverity0:amd64	1.5-1.1build3
libftdi1-2:amd64	1.5-6build5
libfuse-dev:amd64	2.9.9-8.1build1
libfuse2t64:amd64	2.9.9-8.1build1
libfuse3-3:amd64	3.14.0-5build1
libfwupd2:amd64	1.9.31-0ubuntu1~24.04.1
libgail-3-0t64:amd64	3.24.41-4ubuntu1.3
libgail-common:amd64	2.24.33-4ubuntu1.1
libgail18t64:amd64	2.24.33-4ubuntu1.1
libgamemode0:amd64	1.8.1-2build1
libgamemodeauto0:amd64	1.8.1-2build1
libgav1-1:amd64	0.18.0-1build3
libgbinder	1.1.42
libgbm-dev:amd64	25.0.7-0ubuntu0.24.04.2
libgbm1:amd64	25.0.7-0ubuntu0.24.04.2
libgbm1:i386	25.0.7-0ubuntu0.24.04.2
libgc1:amd64	1:8.2.6-1build1
libgcc-12-dev:amd64	12.4.0-2ubuntu1~24.04
libgcc-13-dev:amd64	13.3.0-6ubuntu2~24.04
libgcc-s1:amd64	14.2.0-4ubuntu2~24.04
libgcc-s1:i386	14.2.0-4ubuntu2~24.04
libgck-1-0:amd64	3.41.2-1build3
libgck-2-2:amd64	4.2.0-5
libgcr-4-4:amd64	4.2.0-5
libgcr-base-3-1:amd64	3.41.2-1build3
libgcr-ui-3-1:amd64	3.41.2-1build3
libgcrypt20:amd64	1.10.3-2build1
libgcrypt20:i386	1.10.3-2build1
libgcrypt20-dev	1.10.3-2build1
libgd3:amd64	2.3.3-9ubuntu5
libgdata-common	0.18.1-6build2
libgdata22:amd64	0.18.1-6build2
libgdbm-compat4t64:amd64	1.23-5.1build1
libgdbm6t64:amd64	1.23-5.1build1
libgdk-pixbuf-2.0-0:amd64	2.42.10+dfsg-3ubuntu3.2
libgdk-pixbuf-2.0-dev:amd64	2.42.10+dfsg-3ubuntu3.2
libgdk-pixbuf2.0-bin	2.42.10+dfsg-3ubuntu3.2
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.2
libgdm1	46.2-1ubuntu1~24.04.3
libgee-0.8-2:amd64	0.20.6-1build2
libgeoclue-2-0:amd64	2.7.0-3ubuntu7
libgeocode-glib-2-0:amd64	3.26.3-6build3
libgexiv2-2:amd64	0.14.2-2build3
libgfortran5:amd64	14.2.0-4ubuntu2~24.04
libgif-dev:amd64	5.2.2-1ubuntu1
libgif7:amd64	5.2.2-1ubuntu1
libgirepository-1.0-1:amd64	1.80.1-1
libgirepository-1.0-dev:amd64	1.80.1-1
libgirepository-2.0-0:amd64	2.80.0-6ubuntu3.4
libgirepository1.0-dev	1.80.1-1
libgit2-1.7:amd64	1.7.2+ds-1ubuntu3
libgjs-dev:amd64	1.80.2-1build2
libgjs0g:amd64	1.80.2-1build2
libgl-dev:amd64	1.7.0-1build1
libgl1:amd64	1.7.0-1build1
libgl1-mesa-dev:amd64	25.0.7-0ubuntu0.24.04.2
libgl1-mesa-dri:amd64	25.0.7-0ubuntu0.24.04.2
libgles-dev:amd64	1.7.0-1build1
libgles1:amd64	1.7.0-1build1
libgles2:amd64	1.7.0-1build1
libglib-object-introspection-perl	0.051-1build3
libglib-perl:amd64	3:1.329.3-3build3
libglib2.0-0t64:amd64	2.80.0-6ubuntu3.4
libglib2.0-bin	2.80.0-6ubuntu3.4
libglib2.0-data	2.80.0-6ubuntu3.4
libglib2.0-dev:amd64	2.80.0-6ubuntu3.4
libglib2.0-dev-bin	2.80.0-6ubuntu3.4
libglibmm-2.4-1t64:amd64	2.66.7-1build1
libglibmm-2.68-1t64:amd64	2.78.1-2.2build2
libglibutil	1.0.79
libglu1-mesa:amd64	9.0.2-1.1build1
libglu1-mesa-dev:amd64	9.0.2-1.1build1
libglvnd-core-dev:amd64	1.7.0-1build1
libglvnd-dev:amd64	1.7.0-1build1
libglvnd0:amd64	1.7.0-1build1
libglx-dev:amd64	1.7.0-1build1
libglx-mesa0:amd64	25.0.7-0ubuntu0.24.04.2
libglx0:amd64	1.7.0-1build1
libgme0:amd64	0.6.3-7build1
libgmp-dev:amd64	2:6.3.0+dfsg-2ubuntu6.1
libgmp10:amd64	2:6.3.0+dfsg-2ubuntu6.1
libgmp10:i386	2:6.3.0+dfsg-2ubuntu6.1
libgmpxx4ldbl:amd64	2:6.3.0+dfsg-2ubuntu6.1
libgnome-autoar-0-0:amd64	0.4.4-2build4
libgnome-bg-4-2t64:amd64	44.0-5build2
libgnome-bluetooth-3.0-13:amd64	46.0-1ubuntu1
libgnome-bluetooth-ui-3.0-13:amd64	46.0-1ubuntu1
libgnome-desktop-3-20t64:amd64	44.0-5build2
libgnome-desktop-4-2t64:amd64	44.0-5build2
libgnome-menu-3-0:amd64	3.36.0-1.1ubuntu3
libgnome-rr-4-2t64:amd64	44.0-5build2
libgnomekbd-common	3.28.1-1build3
libgnomekbd8:amd64	3.28.1-1build3
libgnutls-dane0t64:amd64	3.8.3-1.1ubuntu3.4
libgnutls-openssl27t64:amd64	3.8.3-1.1ubuntu3.4
libgnutls28-dev:amd64	3.8.3-1.1ubuntu3.4
libgnutls30t64:amd64	3.8.3-1.1ubuntu3.4
libgoa-1.0-0b:amd64	3.50.4-0ubuntu2
libgoa-1.0-common	3.50.4-0ubuntu2
libgoa-backend-1.0-2:amd64	3.50.4-0ubuntu2
libgomp1:amd64	14.2.0-4ubuntu2~24.04
libgoocanvas-2.0-9:amd64	2.0.4-1build3
libgoocanvas-2.0-common	2.0.4-1build3
libgoocanvas2-cairotypes-perl	0.001-2build4
libgoocanvas2-perl	0.06-3
libgpg-error-dev	1.47-3build2.1
libgpg-error-l10n	1.47-3build2.1
libgpg-error0:amd64	1.47-3build2.1
libgpg-error0:i386	1.47-3build2.1
libgpgme11t64:amd64	1.18.0-4.1ubuntu4
libgphoto2-6t64:amd64	2.5.31-2.1build2
libgphoto2-l10n	2.5.31-2.1build2
libgphoto2-port12t64:amd64	2.5.31-2.1build2
libgpm2:amd64	1.20.7-11
libgpm2:i386	1.20.7-11
libgprofng0:amd64	2.42-4ubuntu2.6
libgraphene-1.0-0:amd64	1.10.8-3build2
libgraphene-1.0-dev	1.10.8-3build2
libgraphite2-3:amd64	1.3.14-2build1
libgraphite2-dev:amd64	1.3.14-2build1
libgs-common	10.02.1~dfsg1-0ubuntu7.8
libgs10:amd64	10.02.1~dfsg1-0ubuntu7.8
libgs10-common	10.02.1~dfsg1-0ubuntu7.8
libgsasl18:amd64	2.2.1-1willsync1build2
libgsf-1-114:amd64	1.14.51-2ubuntu0.1
libgsf-1-common	1.14.51-2ubuntu0.1
libgsm1:amd64	1.0.22-1build1
libgsound0t64:amd64	1.0.3-3.2build2
libgspell-1-2:amd64	1.12.2-1build4
libgspell-1-common	1.12.2-1build4
libgssapi-krb5-2:amd64	1.20.1-6ubuntu2.6
libgssdp-1.6-0:amd64	1.6.3-1build3
libgssglue1:amd64	0.9-1build1
libgstreamer-gl1.0-0:amd64	1.24.2-1ubuntu0.3
libgstreamer-plugins-bad1.0-0:amd64	1.24.2-1ubuntu4+esm1
libgstreamer-plugins-base1.0-0:amd64	1.24.2-1ubuntu0.3
libgstreamer-plugins-base1.0-dev	1.24.2-1ubuntu0.3
libgstreamer-plugins-good1.0-0:amd64	1.24.2-1ubuntu1.2
libgstreamer1.0-0:amd64	1.24.2-1ubuntu0.1
libgstreamer1.0-dev:amd64	1.24.2-1ubuntu0.1
libgtk-3-0t64:amd64	3.24.41-4ubuntu1.3
libgtk-3-bin	3.24.41-4ubuntu1.3
libgtk-3-common	3.24.41-4ubuntu1.3
libgtk-3-dev:amd64	3.24.41-4ubuntu1.3
libgtk-4-1:amd64	4.14.5+ds-0ubuntu0.5
libgtk-4-bin	4.14.5+ds-0ubuntu0.5
libgtk-4-common	4.14.5+ds-0ubuntu0.5
libgtk-4-media-gstreamer	4.14.5+ds-0ubuntu0.5
libgtk-layer-shell-dev	0.8.2-1build2
libgtk-layer-shell0	0.8.2-1build2
libgtk2.0-0t64:amd64	2.24.33-4ubuntu1.1
libgtk2.0-bin	2.24.33-4ubuntu1.1
libgtk2.0-common	2.24.33-4ubuntu1.1
libgtk3-imageview-perl	10-2
libgtk3-perl	0.038-3
libgtkhex-4-1:amd64	46.0-1build1
libgtkmm-3.0-1t64:amd64	3.24.9-1
libgtkmm-4.0-0:amd64	4.10.0-4build3
libgtksourceview-4-0:amd64	4.8.4-5build4
libgtksourceview-4-common	4.8.4-5build4
libgtksourceview-5-0:amd64	5.12.0-1build1
libgtksourceview-5-common	5.12.0-1build1
libgtop-2.0-11:amd64	2.41.3-1ubuntu0.24.04.1
libgtop2-common	2.41.3-1ubuntu0.24.04.1
libgudev-1.0-0:amd64	1:238-5ubuntu1
libgudev-1.0-dev:amd64	1:238-5ubuntu1
libgupnp-1.6-0:amd64	1.6.6-1build3
libgupnp-av-1.0-3:amd64	0.14.1-2build2
libgupnp-dlna-2.0-4:amd64	0.12.0-4build2
libgupnp-igd-1.6-0:amd64	1.6.0-3build3
libgusb2:amd64	0.4.8-1build2
libgweather-4-0t64:amd64	4.4.2-1build1
libgweather-4-common	4.4.2-1build1
libgxps2t64:amd64	0.3.2-4build3
libhandy-1-0:amd64	1.8.3-1build2
libharfbuzz-cairo0:amd64	8.3.0-2build2
libharfbuzz-dev:amd64	8.3.0-2build2
libharfbuzz-gobject0:amd64	8.3.0-2build2
libharfbuzz-icu0:amd64	8.3.0-2build2
libharfbuzz-subset0:amd64	8.3.0-2build2
libharfbuzz0b:amd64	8.3.0-2build2
libhd21t64:amd64	21.82-1.1build1
libheif-plugin-aomdec:amd64	1.17.6-1ubuntu4.1
libheif-plugin-aomenc:amd64	1.17.6-1ubuntu4.1
libheif-plugin-libde265:amd64	1.17.6-1ubuntu4.1
libheif1:amd64	1.17.6-1ubuntu4.1
libhogweed6t64:amd64	3.9.1-2.2build1.1
libhpmud0:amd64	3.23.12+dfsg0-0ubuntu5
libhtml-form-perl	6.11-1
libhtml-format-perl	2.16-2
libhtml-parser-perl:amd64	3.81-1build3
libhtml-tagset-perl	3.20-6
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.11-1
libhttp-daemon-perl	6.16-1
libhttp-date-perl	6.06-1
libhttp-message-perl	6.45-1ubuntu1
libhttp-negotiate-perl	6.01-2
libhttp-parser2.9:amd64	2.9.4-6build1
libhunspell-1.7-0:amd64	1.7.2+really1.7.2-10build3
libhwasan0:amd64	14.2.0-4ubuntu2~24.04
libhwloc-plugins:amd64	2.10.0-1build1
libhwloc15:amd64	2.10.0-1build1
libhwy1t64:amd64	1.0.7-8.1build1
libhyphen0:amd64	2.8.8-7build3
libibus-1.0-5:amd64	1.5.29-2
libibus-1.0-dev:amd64	1.5.29-2
libibverbs1:amd64	50.0-2ubuntu0.2
libical3t64:amd64	3.0.17-1.1build3
libice-dev:amd64	2:1.0.10-1build3
libice6:amd64	2:1.0.10-1build3
libicu-dev:amd64	74.2-1ubuntu3.1
libicu74:amd64	74.2-1ubuntu3.1
libicu74:i386	74.2-1ubuntu3.1
libid3tag0:amd64	0.15.1b-14build1
libidn12:amd64	1.42-1build1
libidn2-0:amd64	2.3.7-2build1.1
libidn2-0:i386	2.3.7-2build1.1
libidn2-dev:amd64	2.3.7-2build1.1
libiec61883-0:amd64	1.2.0-6build1
libieee1284-3t64:amd64	0.2.11-14.1build1
libigdgmm12:amd64	22.3.17+ds1-1
libijs-0.35:amd64	0.35-15.1build1
libimage-exiftool-perl	12.76+dfsg-1
libimage-magick-perl	8:6.9.12.98+dfsg1-5.2ubuntu0.1~esm3
libimage-magick-q16-perl	8:6.9.12.98+dfsg1-5.2ubuntu0.1~esm3
libimagequant0:amd64	2.18.0-1build1
libimath-3-1-29t64:amd64	3.1.9-3.1ubuntu2
libimlib2t64:amd64	1.12.1-1.1build2
libimobiledevice-utils	1.3.0-8.1build3
libimobiledevice6:amd64	1.3.0-8.1build3
libimport-into-perl	1.002005-2
libini-config5t64:amd64	0.6.2-2.1build1
libinih-dev:amd64	55-1ubuntu2
libinih1:amd64	55-1ubuntu2
libiniparser1:amd64	4.1-7ubuntu0.1
libinireader0:amd64	55-1ubuntu2
libinput-bin	1.25.0-1ubuntu3.1
libinput-dev:amd64	1.25.0-1ubuntu3.1
libinput10:amd64	1.25.0-1ubuntu3.1
libinstpatch-1.0-2:amd64	1.1.6-1build2
libio-compress-brotli-perl	0.004001-2build3
libio-html-perl	1.004-3
libio-socket-ssl-perl	2.085-1
libio-stringy-perl	2.111-3
libip4tc2:amd64	1.8.10-3ubuntu2
libip6tc2:amd64	1.8.10-3ubuntu2
libipa-hbac0t64	2.9.4-1.1ubuntu6.3
libipc-system-simple-perl	1.30-2
libipt2	2.0.6-1build1
libiscsi7:amd64	1.19.0-3build4
